indiv;ref;climate;genotype;Ptot_25;Ptot_30;P300_25;P300_30;P600_25;P600_30;P1000_25;P1000_30;harvest_25;harvest_30;seed_yield;seed_nb;PMG;lipids;proteins
58;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;35,49;80474;4,41;50,53;19,09
59;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;31;68383;4,53;48,66;20,84
60;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;36,67;82854;4,43;50,58;18,64
61;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;37,88;87149;4,35;50,6;19,05
62;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;35,22;83196;4,23;50,19;18,53
63;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;37,45;86173;4,35;50,48;19,35
64;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;35;81682;4,28;49,92;19,4
65;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;41,57;95679;4,34;50,32;19,63
66;LR13;océanique;Montego;10;2;0;0;0;0;2;0;8;2;27,48;69542;3,95;51,2;19,01
67;CH14;océanique dégradé;Aviso;11;0;0;0;0;0;6;0;6;0;26,27;59702;4,4;48,4;18,6
68;CH14;océanique dégradé;Aviso;11;0;0;0;0;0;6;0;6;0;32,7;66736;4,9;48,6;18,8
69;CH14;océanique dégradé;Montego;11;0;0;0;0;0;4;0;8;0;28,6;66511;4,3;50,9;17,7
70;CH14;océanique dégradé;Montego;11;0;0;0;0;0;4;0;8;0;30,12;68452;4,4;49,8;18,3
71;PRE14;océanique;Aviso;10;1;0;0;0;0;1;0;9;1;25,57;54414;4,7;50,2;20,9
72;PRE14;océanique;Aviso;10;1;0;0;0;0;1;0;9;1;21,13;45935;4,6;49,3;21,3
73;PRE14;océanique;Montego;10;1;0;0;0;0;1;0;9;1;27,8;;;;
74;PRE14;océanique;Montego;10;1;0;0;0;0;1;0;9;1;23,03;56178;4,1;49,5;21,9
75;VER14;océanique;Aviso;6;1;0;0;0;0;2;0;4;1;34,87;72656;4,8;46,5;14,4
76;VER14;océanique;Aviso;6;1;0;0;0;0;2;0;4;1;32,86;69911;4,7;46,5;14,2
77;VER14;océanique;Montego;6;1;0;0;0;0;2;0;4;1;36,69;85328;4,3;47;14,1
78;VER14;océanique;Montego;6;1;0;0;0;0;2;0;4;1;38,21;84917;4,5;47,2;14
79;LR15;océanique;Aviso;9;1;1;0;0;0;1;0;7;1;30,74;60638;5,07;49,6;17,7
80;LR15;océanique;Aviso;9;1;1;0;0;0;1;0;7;1;28,73;55980;5,13;47,7;19,2
81;LR15;océanique;Aviso;9;1;1;0;0;0;1;0;7;1;34,6;70586;4,9;48,9;18,5
82;LR15;océanique;Aviso;9;1;1;0;0;0;1;0;7;1;37,08;71039;5,22;49,4;18,9
83;LR15;océanique;Aviso;9;1;1;0;0;0;1;0;7;1;28,26;57781;4,89;50,6;17,2
84;LR15;océanique;Aviso;9;1;1;0;0;0;1;0;7;1;28,58;53466;5,34;49,5;18,2
85;LR15;océanique;Montego;9;1;1;0;0;0;1;0;7;1;30,35;69211;4,39;52;17,8
86;LR15;océanique;Montego;9;1;1;0;0;0;1;0;7;1;35,39;77977;4,54;51,2;17,5
87;LR15;océanique;Montego;9;1;1;0;0;0;1;0;7;1;30,96;66563;4,65;52,3;17,4
88;MD15;méditerranéen;Aviso;25;4;1;0;1;0;6;0;19;4;31,26;74600;4,19;49,19;18,32
89;MD15;méditerranéen;Aviso;25;4;1;0;1;0;6;0;19;4;34,05;83054;4,1;50,17;17,56
90;MD15;méditerranéen;Montego;25;4;1;0;0;0;5;0;19;4;24,03;58745;4,09;49,87;18,81
91;MD15;méditerranéen;Montego;25;4;1;0;0;0;5;0;19;4;27,57;64570;4,27;49,83;19,25
92;PRE15;océanique;Aviso;14;3;0;0;0;0;4;1;10;2;40,69;78253;5,2;48,7;19,8
93;PRE15;océanique;Aviso;14;3;0;0;0;0;4;1;10;2;44,24;85069;5,2;50,6;18,8
94;PRE15;océanique;Montego;14;3;0;0;0;0;3;1;11;2;36,79;79974;4,6;50,1;19,1
95;PRE15;océanique;Montego;14;3;0;0;0;0;3;1;11;2;38,95;84674;4,6;51,5;18,1
96;SEL15;océanique dégradé;Aviso;18;8;1;0;1;0;3;2;13;6;30,07;;;48,03;19,87
97;SEL15;océanique dégradé;Aviso;18;8;1;0;1;0;3;2;13;6;31,74;;;50,03;18,11
98;SEL15;océanique dégradé;Montego;18;8;1;0;1;0;3;2;13;6;20,76;;;52,97;16,72
99;SEL15;océanique dégradé;Montego;18;8;1;0;1;0;3;2;13;6;27,19;;;50,99;18,85
100;VER15;océanique;Aviso;21;4;0;0;0;0;5;1;16;3;37,59;;;44,7;15,6
101;VER15;océanique;Aviso;21;4;0;0;0;0;5;1;16;3;35,16;74814;4,7;46,2;14
102;VER15;océanique;Montego;21;4;0;0;0;0;5;1;16;3;35,74;;;47;14,9
103;VER15;océanique;Montego;21;4;0;0;0;0;5;1;16;3;35,45;86463;4,1;47,2;14,3
104;YEB15;océanique dégradé;Aviso;24;6;0;0;1;0;4;1;19;5;36,5;78502;4,65;49,32;18,35
105;YEB15;océanique dégradé;Aviso;24;6;0;0;1;0;4;1;19;5;39,07;84932;4,6;49,91;18,17
106;YEB15;océanique dégradé;Montego;24;6;0;0;1;0;4;1;19;5;37,36;90023;4,15;48,91;19,75
107;YEB15;océanique dégradé;Montego;24;6;0;0;1;0;4;1;19;5;39,67;95357;4,16;49,03;19,25
108;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;33,11;67853;4,88;47,1;20,8
109;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;35,66;74655;4,78;47,6;20,4
110;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;30,48;61722;4,94;48;20,5
111;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;38,45;81242;4,73;48,6;19,9
112;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;34,79;70961;4,9;47,2;19,7
113;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;34,15;72109;4,74;48,7;18,5
114;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;32,99;71167;4,64;47,5;20,4
115;LR16;océanique;Aviso;3;0;0;0;0;0;1;0;2;0;28,32;59897;4,73;46,4;21
116;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;30,52;71520;4,27;50,3;19,1
117;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;29,27;71174;4,11;50,2;19,4
118;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;31,48;76574;4,11;50,5;18,5
119;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;34,09;84833;4,02;49,7;19,2
120;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;32,89;83686;3,93;49,8;19
121;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;33,04;77906;4,24;50,5;18,8
122;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;33,55;78857;4,25;49,6;19
123;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;30,52;69037;4,42;49,2;19,3
124;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;32,23;77660;4,15;50,1;17,7
125;LR16;océanique;Montego;3;0;0;0;0;0;1;0;2;0;31,06;74427;4,17;50,2;18,9
126;AU217;océanique dégradé;Alpaga;27;8;0;0;0;0;8;0;20;8;39,08;;;51,8;16,4
127;AU217;océanique dégradé;Alpaga;27;8;0;0;0;0;8;0;20;8;46,27;;;49,94;18,2
128;AU217;océanique dégradé;Alpaga;27;8;0;0;0;0;8;0;20;8;39,1;;;50,6;17,5
129;AU217;océanique dégradé;Alpaga;27;8;0;0;0;0;8;0;20;8;43,36;;;50,72;16,9
130;AU217;océanique dégradé;Alpaga;27;8;0;0;0;0;8;0;20;8;44,6;;;51,12;17
131;BLO17;océanique dégradé;Alpaga;26;7;0;0;2;0;7;0;17;7;39,23;;5,2;48,3;21
132;BLO17;océanique dégradé;Alpaga;26;7;0;0;2;0;7;0;17;7;38,87;;5,5;48;20,6
133;CHX17;océanique dégradé;Alpaga;26;4;0;0;3;0;11;0;13;4;28,28;;4,5;50,9;17,4
134;CHX17;océanique dégradé;Alpaga;26;4;0;0;3;0;11;0;13;4;30,05;;4,1;51,9;16,6
