# Database file name:              C:/Users/USER/Documents/TRAVAIL/3A/stage3a/codes_sources/coron-0.8/rapsodynCoron_v1.rcf
# Database file size:              12,911 bytes
# Number of lines:                 170
# Total number of attributes:      33
# Number of non empty attributes:  33
# Number of attributes in average: 14,4
# Density:                         43,64 %
# min_supp:                        51, i.e. 30 %
# min_conf:                        60 %
# Chosen algorithm:                Close
# Rules to extract:                closed association rules

{4, 10, 16} => {8, 18, 20, 22} (supp=55 [32.35%]; conf=0.846 [84.62%]; suppL=65 [38.24%]; suppR=55 [32.35%]; class=FF)
{4, 8, 22} => {10, 16, 18, 20} (supp=55 [32.35%]; conf=0.932 [93.22%]; suppL=59 [34.71%]; suppR=55 [32.35%]; class=FF)
{4, 8, 20} => {10, 16, 18, 22} (supp=55 [32.35%]; conf=0.647 [64.71%]; suppL=85 [50.00%]; suppR=81 [47.65%]; class=FF)
{4, 8, 18} => {10, 16, 20, 22} (supp=55 [32.35%]; conf=0.618 [61.80%]; suppL=89 [52.35%]; suppR=55 [32.35%]; class=FF)
{4, 8, 16} => {10, 18, 20, 22} (supp=55 [32.35%]; conf=0.618 [61.80%]; suppL=89 [52.35%]; suppR=65 [38.24%]; class=FF)
{4, 8, 10} => {16, 18, 20, 22} (supp=55 [32.35%]; conf=0.932 [93.22%]; suppL=59 [34.71%]; suppR=55 [32.35%]; class=FF)
{20, 22} => {4, 8, 10, 16, 18} (supp=55 [32.35%]; conf=0.775 [77.46%]; suppL=71 [41.76%]; suppR=59 [34.71%]; class=FF)
{18, 22} => {4, 8, 10, 16, 20} (supp=55 [32.35%]; conf=0.604 [60.44%]; suppL=91 [53.53%]; suppR=55 [32.35%]; class=FF)
{16, 22} => {4, 8, 10, 18, 20} (supp=55 [32.35%]; conf=0.679 [67.90%]; suppL=81 [47.65%]; suppR=55 [32.35%]; class=FF)
{16, 20} => {4, 8, 10, 18, 22} (supp=55 [32.35%]; conf=0.647 [64.71%]; suppL=85 [50.00%]; suppR=59 [34.71%]; class=FF)
{10, 20} => {4, 8, 16, 18, 22} (supp=55 [32.35%]; conf=0.775 [77.46%]; suppL=71 [41.76%]; suppR=59 [34.71%]; class=FF)
{10, 18} => {4, 8, 16, 20, 22} (supp=55 [32.35%]; conf=0.604 [60.44%]; suppL=91 [53.53%]; suppR=55 [32.35%]; class=FF)
{10, 16} => {4, 8, 18, 20, 22} (supp=55 [32.35%]; conf=0.679 [67.90%]; suppL=81 [47.65%]; suppR=55 [32.35%]; class=FF)
{8, 22} => {4, 10, 16, 18, 20} (supp=55 [32.35%]; conf=0.932 [93.22%]; suppL=59 [34.71%]; suppR=55 [32.35%]; class=FF)
{8, 20} => {4, 10, 16, 18, 22} (supp=55 [32.35%]; conf=0.647 [64.71%]; suppL=85 [50.00%]; suppR=65 [38.24%]; class=FF)
{8, 18} => {4, 10, 16, 20, 22} (supp=55 [32.35%]; conf=0.618 [61.80%]; suppL=89 [52.35%]; suppR=55 [32.35%]; class=FF)
{8, 16} => {4, 10, 18, 20, 22} (supp=55 [32.35%]; conf=0.618 [61.80%]; suppL=89 [52.35%]; suppR=55 [32.35%]; class=FF)
{8, 10} => {4, 16, 18, 20, 22} (supp=55 [32.35%]; conf=0.932 [93.22%]; suppL=59 [34.71%]; suppR=55 [32.35%]; class=FF)
{4, 22} => {8, 10, 16, 18, 20} (supp=55 [32.35%]; conf=0.846 [84.62%]; suppL=65 [38.24%]; suppR=55 [32.35%]; class=FF)
{4, 20} => {8, 10, 16, 18, 22} (supp=55 [32.35%]; conf=0.647 [64.71%]; suppL=85 [50.00%]; suppR=59 [34.71%]; class=FF)
{4, 10} => {8, 16, 18, 20, 22} (supp=55 [32.35%]; conf=0.846 [84.62%]; suppL=65 [38.24%]; suppR=55 [32.35%]; class=FF)
{4, 8} => {10, 16, 18, 20, 22} (supp=55 [32.35%]; conf=0.618 [61.80%]; suppL=89 [52.35%]; suppR=55 [32.35%]; class=FF)
{8} => {4, 10, 16, 18, 20, 22} (supp=55 [32.35%]; conf=0.618 [61.80%]; suppL=89 [52.35%]; suppR=55 [32.35%]; class=FF)

