,climate,genotype,Ptot_>20,Ptot_20-25,Ptot_>25,Ptot_25-30,Ptot_>30,Ptot_<5,P300_>20,P300_20-25,P300_>25,P300_25-30,P300_<5,P600_>20,P600_20-25,P600_>25,P600_25-30,P600_<5,P1000_>20,P1000_20-25,P1000_>25,P1000_25-30,P1000_>30,Pharv_>20,Pharv_20-25,Pharv_>25,Pharv_25-30,Pharvt_>30,seed_yield,seed_nb,PMG,lipids,proteins
29,0,0,23.0,19.0,4.0,4.0,0.0,16.0,1.0,1.0,0.0,0.0,16.0,5.0,4.0,1.0,1.0,0.0,10.0,8.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,32.83,70234.5,4.67,44.34,23.07
30,0,0,23.0,19.0,4.0,4.0,0.0,16.0,1.0,1.0,0.0,0.0,16.0,5.0,4.0,1.0,1.0,0.0,10.0,8.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,26.26,59359.76,4.42,42.8,24.25
31,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,40.12,95067.14,4.22,47.16,21.71
32,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,43.02,96205.64,4.47,49.68,20.15
33,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,39.58,90141.78,4.39,49.54,20.64
34,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,33.35,76851.13,4.34,47.63,22.12
35,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,34.62,81840.22,4.23,49.15,20.31
36,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,33.99,74565.74,4.56,49.76,20.01
37,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,34.46,81925.19,4.21,47.86,21.82
38,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,29.27,66568.32,4.4,46.68,22.48
39,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,45.16,103089.87,4.38,47.93,21.25
40,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,35.49,83178.84,4.27,47.97,21.29
41,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,35.33,84373.37,4.19,46.82,22.74
42,0,1,28.0,24.0,4.0,4.0,0.0,18.0,5.0,5.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,2.0,0.0,10.0,8.0,2.0,2.0,0.0,32.9,63619.97,5.17,46.11,22.82
43,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,29.17,55434.18,5.26,49.23,18.5
44,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,31.46,58085.01,5.42,47.23,20.01
45,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,33.99,63651.76,5.34,47.71,20.52
46,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,31.92,57438.91,5.56,48.38,19.29
47,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,33.92,63201.48,5.37,48.82,19.33
48,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,32.65,60579.25,5.39,47.15,19.83
49,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,30.84,62286.49,4.95,48.06,18.87
50,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,34.1,64338.34,5.3,48.08,19.62
51,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,33.46,62343.64,5.37,47.06,20.88
52,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,29.84,55241.58,5.4,46.65,20.69
53,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,33.34,62237.66,5.36,48.55,19.38
54,0,0,29.0,19.0,10.0,8.0,2.0,8.0,6.0,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,16.0,8.0,8.0,6.0,2.0,30.86,67559.34,4.57,49.72,18.35
55,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,36.71,86886.53,4.23,50.53,18.39
56,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,33.88,79019.61,4.29,51.39,18.55
57,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,33.51,76857.78,4.36,50.8,18.5
58,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,35.49,80474.21,4.41,50.53,19.09
59,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,31.0,68382.61,4.53,48.66,20.84
60,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,36.67,82853.57,4.43,50.58,18.64
61,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,37.88,87149.48,4.35,50.6,19.05
62,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,35.22,83195.95,4.23,50.19,18.53
