,climate,genotype,Ptot_>20,Ptot_20-25,Ptot_>25,Ptot_25-30,Ptot_>30,Ptot_<5,P300_>20,P300_20-25,P300_>25,P300_25-30,P300_<5,P600_>20,P600_20-25,P600_>25,P600_25-30,P600_<5,P1000_>20,P1000_20-25,P1000_>25,P1000_25-30,P1000_>30,Pharv_>20,Pharv_20-25,Pharv_>25,Pharv_25-30,Pharvt_>30,seed_yield,seed_nb,PMG,lipids,proteins
99,1,1,53.0,29.0,24.0,18.0,6.0,2.0,5.0,5.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,0.0,17.0,13.0,4.0,3.0,1.0,27.0,8.0,19.0,14.0,5.0,37.36,90023.48,4.15,48.91,19.75
100,1,1,53.0,29.0,24.0,18.0,6.0,2.0,5.0,5.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,0.0,17.0,13.0,4.0,3.0,1.0,27.0,8.0,19.0,14.0,5.0,39.67,95356.6,4.16,49.03,19.25
101,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,33.11,67852.55,4.88,47.1,20.8
102,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,35.66,74655.25,4.78,47.6,20.4
103,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,30.48,61721.68,4.94,48.0,20.5
104,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,38.45,81242.21,4.73,48.6,19.9
105,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,34.79,70960.7,4.9,47.2,19.7
106,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,34.15,72108.91,4.74,48.7,18.5
107,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,32.99,71166.68,4.64,47.5,20.4
108,0,0,27.0,24.0,3.0,3.0,0.0,19.0,2.0,2.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,28.32,59897.04,4.73,46.4,21.0
109,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,30.52,71520.42,4.27,50.3,19.1
110,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,29.27,71174.4,4.11,50.2,19.4
111,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,31.48,76574.4,4.11,50.5,18.5
112,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,34.09,84833.26,4.02,49.7,19.2
113,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,32.89,83686.27,3.93,49.8,19.0
114,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,33.04,77906.26,4.24,50.5,18.8
115,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,33.55,78856.7,4.25,49.6,19.0
116,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,30.52,69037.1,4.42,49.2,19.3
117,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,32.23,77660.05,4.15,50.1,17.7
118,0,1,27.0,24.0,3.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,18.0,4.0,4.0,0.0,0.0,9.0,10.0,9.0,1.0,1.0,0.0,13.0,11.0,2.0,2.0,0.0,31.06,74427.24,4.17,50.2,18.9
