,climate,genotype,Ptot_25,Ptot_30,P300_25,P600_25,P1000_25,P1000_30,harvest_25,harvest_30,seed_yield,seed_nb,PMG,lipids,proteins
53,2,0,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,33.34,62238.0,5.36,48.55,19.38
54,2,0,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,30.86,67559.0,4.57,49.72,18.35
55,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,36.71,86887.0,4.23,50.53,18.39
56,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,33.88,79020.0,4.29,51.39,18.55
57,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,33.51,76858.0,4.36,50.8,18.5
58,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,35.49,80474.0,4.41,50.53,19.09
59,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,31.0,68383.0,4.53,48.66,20.84
60,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,36.67,82854.0,4.43,50.58,18.64
61,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,37.88,87149.0,4.35,50.6,19.05
62,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,35.22,83196.0,4.23,50.19,18.53
63,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,37.45,86173.0,4.35,50.48,19.35
64,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,35.0,81682.0,4.28,49.92,19.4
65,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,41.57,95679.0,4.34,50.32,19.63
66,2,1,10.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,27.48,69542.0,3.95,51.2,19.01
67,1,0,11.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,26.27,59702.0,4.4,48.4,18.6
68,1,0,11.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,32.7,66736.0,4.9,48.6,18.8
69,1,1,11.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,28.6,66511.0,4.3,50.9,17.7
70,1,1,11.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,30.12,68452.0,4.4,49.8,18.3
71,2,0,10.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,25.57,54414.0,4.7,50.2,20.9
72,2,0,10.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,21.13,45935.0,4.6,49.3,21.3
73,2,1,10.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,23.03,56178.0,4.1,49.5,21.9
74,2,0,6.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,34.87,72656.0,4.8,46.5,14.4
75,2,0,6.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,32.86,69911.0,4.7,46.5,14.2
76,2,1,6.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,36.69,85328.0,4.3,47.0,14.1
77,2,1,6.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,38.21,84917.0,4.5,47.2,14.0
78,2,0,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,30.74,60638.0,5.07,49.6,17.7
79,2,0,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,28.73,55980.0,5.13,47.7,19.2
80,2,0,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,34.6,70586.0,4.9,48.9,18.5
81,2,0,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,37.08,71039.0,5.22,49.4,18.9
82,2,0,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,28.26,57781.0,4.89,50.6,17.2
83,2,0,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,28.58,53466.0,5.34,49.5,18.2
84,2,1,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,30.35,69211.0,4.39,52.0,17.8
85,2,1,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,35.39,77977.0,4.54,51.2,17.5
86,2,1,9.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,30.96,66563.0,4.65,52.3,17.4
87,0,0,25.0,4.0,1.0,1.0,6.0,0.0,19.0,4.0,31.26,74600.0,4.19,49.19,18.32
88,0,0,25.0,4.0,1.0,1.0,6.0,0.0,19.0,4.0,34.05,83054.0,4.1,50.17,17.56
89,0,1,25.0,4.0,1.0,0.0,5.0,0.0,19.0,4.0,24.03,58745.0,4.09,49.87,18.81
90,0,1,25.0,4.0,1.0,0.0,5.0,0.0,19.0,4.0,27.57,64570.0,4.27,49.83,19.25
91,2,0,14.0,3.0,0.0,0.0,4.0,1.0,10.0,2.0,40.69,78253.0,5.2,48.7,19.8
92,2,0,14.0,3.0,0.0,0.0,4.0,1.0,10.0,2.0,44.24,85069.0,5.2,50.6,18.8
93,2,1,14.0,3.0,0.0,0.0,3.0,1.0,11.0,2.0,36.79,79974.0,4.6,50.1,19.1
94,2,1,14.0,3.0,0.0,0.0,3.0,1.0,11.0,2.0,38.95,84674.0,4.6,51.5,18.1
95,2,0,21.0,4.0,0.0,0.0,5.0,1.0,16.0,3.0,35.16,74814.0,4.7,46.2,14.0
96,2,1,21.0,4.0,0.0,0.0,5.0,1.0,16.0,3.0,35.45,86463.0,4.1,47.2,14.3
97,1,0,24.0,6.0,0.0,1.0,4.0,1.0,19.0,5.0,36.5,78502.0,4.65,49.32,18.35
98,1,0,24.0,6.0,0.0,1.0,4.0,1.0,19.0,5.0,39.07,84932.0,4.6,49.91,18.17
99,1,1,24.0,6.0,0.0,1.0,4.0,1.0,19.0,5.0,37.36,90023.0,4.15,48.91,19.75
100,1,1,24.0,6.0,0.0,1.0,4.0,1.0,19.0,5.0,39.67,95357.0,4.16,49.03,19.25
101,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,33.11,67853.0,4.88,47.1,20.8
102,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,35.66,74655.0,4.78,47.6,20.4
103,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,30.48,61722.0,4.94,48.0,20.5
104,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,38.45,81242.0,4.73,48.6,19.9
105,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,34.79,70961.0,4.9,47.2,19.7
106,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,34.15,72109.0,4.74,48.7,18.5
107,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,32.99,71167.0,4.64,47.5,20.4
108,2,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,28.32,59897.0,4.73,46.4,21.0
109,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,30.52,71520.0,4.27,50.3,19.1
110,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,29.27,71174.0,4.11,50.2,19.4
111,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,31.48,76574.0,4.11,50.5,18.5
112,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,34.09,84833.0,4.02,49.7,19.2
113,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,32.89,83686.0,3.93,49.8,19.0
114,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,33.04,77906.0,4.24,50.5,18.8
115,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,33.55,78857.0,4.25,49.6,19.0
116,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,30.52,69037.0,4.42,49.2,19.3
117,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,32.23,77660.0,4.15,50.1,17.7
118,2,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,31.06,74427.0,4.17,50.2,18.9
