2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;43.02;4.47;49.68;20.15
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;39.58;4.39;49.54;20.64
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;33.35;4.34;47.63;22.12
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;34.62;4.23;49.15;20.31
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;33.99;4.56;49.76;20.01
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;34.46;4.21;47.86;21.82
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;29.27;4.4;46.68;22.48
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;45.16;4.38;47.93;21.25
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;35.49;4.27;47.97;21.29
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;35.33;4.19;46.82;22.74
2.0;1.0;24.0;4.0;4.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;9.0;2.0;0.0;8.0;2.0;0.0;32.9;5.17;46.11;22.82
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;29.17;5.26;49.23;18.5
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;31.46;5.42;47.23;20.01
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;33.99;5.34;47.71;20.52
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;31.92;5.56;48.38;19.29
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;33.92;5.37;48.82;19.33
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;32.65;5.39;47.15;19.83
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;30.84;4.95;48.06;18.87
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;34.1;5.3;48.08;19.62
2.0;0.0;19.0;10.0;8.0;2.0;8.0;0.0;7.0;1.0;1.0;0.0;6.0;2.0;0.0;8.0;6.0;2.0;33.46;5.37;47.06;20.88
