13
6,2,0,1,2,0,3,2,40.4,95386,4.23,51.4,16.4
6,2,0,1,2,0,3,2,37.8,84953,4.45,50.8,17.9
6,2,0,1,2,0,3,2,41,92816,4.42,51.1,17.7
6,2,0,1,2,0,3,2,55.1,140813,3.91,51.8,17.1
6,2,0,1,2,0,3,2,39.1,96437,4.05,52.1,16.7
6,2,0,1,2,0,3,2,43.4,101070,4.29,51.7,17.4
17,1,4,0,11,1,3,1,25.6,84213,3.04,42.29,23.54
17,1,4,0,11,1,3,1,27,93070,2.9,41.79,23.83
17,1,4,0,11,1,3,1,28.5,113687,2.51,40.64,24.6
17,1,4,0,11,1,3,1,26.4,87849,3,41.96,23.17
17,1,4,0,11,1,3,1,28.1,97586,2.87,42.01,22.94
17,1,4,0,11,1,3,1,25.3,83573,3.03,42.77,22.99
17,1,4,0,9,0,5,1,29.3,104919,2.79,43.5,22.69
17,1,4,0,9,0,5,1,31.2,108616,2.87,42.27,24.07
17,1,4,0,9,0,5,1,34.1,123339,2.77,44.15,22.04
17,1,4,0,9,0,5,1,26.2,100106,2.61,41.43,25.23
17,1,4,0,9,0,5,1,33.8,126098,2.68,44.05,22.07
17,1,4,0,9,0,5,1,34.9,131367,2.66,43.34,21.99
4,0,0,1,2,0,2,0,31.22,67847,4.6,46.91,21.4
4,0,0,1,2,0,2,0,34.98,69129,5.06,46.64,21.31
4,0,0,1,2,0,2,0,32.34,68154,4.75,46.26,21.62
4,0,0,1,2,0,2,0,26.94,55531,4.85,44.89,22.08
4,0,0,1,2,0,2,0,31.6,64856,4.87,45.55,21.7
4,0,0,1,2,0,2,0,25.16,56953,4.42,44.79,21.71
4,0,0,1,2,0,2,0,28.35,58877,4.82,45.17,22.84
4,0,0,1,2,0,2,0,31.91,69399,4.6,45.01,22.43
4,0,0,1,2,0,2,0,26.28,55541,4.73,44.91,22.84
4,0,0,1,2,0,2,0,32.78,76421,4.29,42.71,23.17
4,0,0,1,2,0,2,0,32.83,70235,4.67,44.34,23.07
